	vocation	link	min_salary	max_salary	currency	site_from
20	Backend разработчик	https://russia.superjob.ru/vakansii/backend-razrabotchik-40286176.html				https://russia.superjob.ru
21	Специалист службы поддержки с техническими знаниями в Яндекс 360 (бэкенд)	https://russia.superjob.ru/vakansii/specialist-sluzhby-podderzhki-s-tehnicheskimi-znaniyami-v-yandeks-360-39813759.html	15000.0	15000.0	руб.	https://russia.superjob.ru
22	Системный администратор	https://russia.superjob.ru/vakansii/sistemnyj-administrator-40282274.html	50000.0	50000.0	руб.	https://russia.superjob.ru
23	Программист 1С	https://russia.superjob.ru/vakansii/programmist-1s-39215921.html	200000.0	200000.0	руб.	https://russia.superjob.ru
24	DevOps Engineer	https://russia.superjob.ru/vakansii/devops-engineer-39928298.html				https://russia.superjob.ru
25	Системный инженер/DevOps-инженер	https://russia.superjob.ru/vakansii/sistemnyj-inzhener-39365803.html	130000.0	130000.0	руб.	https://russia.superjob.ru
26	Системный администратор / инженер Ops	https://russia.superjob.ru/vakansii/sistemnyj-administrator-40277424.html	140000.0	170000.0	руб.	https://russia.superjob.ru
27	Инженер нагрузочного тестирования	https://russia.superjob.ru/vakansii/inzhener-nagruzochnogo-testirovaniya-39705117.html				https://russia.superjob.ru
28	Инженер (инженер 1 (2) категории)	https://russia.superjob.ru/vakansii/inzhener-36551836.html	60000.0	60000.0	руб.	https://russia.superjob.ru
29	BI-аналитик (удаленно / офис)	https://russia.superjob.ru/vakansii/bi-analitik-39925903.html	150000.0	150000.0	руб.	https://russia.superjob.ru
30	Backend-разработчик (PHP, Middle)	https://russia.superjob.ru/vakansii/backend-razrabotchik-40095601.html	110000.0	110000.0	руб.	https://russia.superjob.ru
31	Junior инженер-программист С# NET / MSSQL (MES-Системы управления производством), удалённо	https://russia.superjob.ru/vakansii/junior-inzhener-programmist-s-39923478.html	55000.0	65000.0	руб.	https://russia.superjob.ru
32	Data scientist	https://russia.superjob.ru/vakansii/data-scientist-40272212.html				https://russia.superjob.ru
33	Head of service desk	https://russia.superjob.ru/vakansii/head-of-service-desk-39923470.html				https://russia.superjob.ru
34	Специалист по обработке данных	https://russia.superjob.ru/vakansii/specialist-po-obrabotke-dannyh-39699230.html	65000.0	80000.0	руб.	https://russia.superjob.ru
35	Аналитик систем бизнес-анализа	https://russia.superjob.ru/vakansii/analitik-sistem-biznes-analiza-40128645.html				https://russia.superjob.ru
36	Data engineer	https://russia.superjob.ru/vakansii/data-engineer-39698740.html	400000.0	400000.0	руб.	https://russia.superjob.ru
37	Системный администратор	https://russia.superjob.ru/vakansii/sistemnyj-administrator-30612921.html	25000.0	25000.0	руб.	https://russia.superjob.ru
38	QA Automation Engineer	https://russia.superjob.ru/vakansii/qa-automation-engineer-39922815.html	100000.0	100000.0	руб.	https://russia.superjob.ru
39	Разработчик баз данных	https://russia.superjob.ru/vakansii/razrabotchik-baz-dannyh-39866025.html				https://russia.superjob.ru
40	Backend-разработчик (PHP, Junior)	https://russia.superjob.ru/vakansii/backend-razrabotchik-40095494.html	30000.0	30000.0	руб.	https://russia.superjob.ru
41	Инженер-разработчик	https://russia.superjob.ru/vakansii/inzhener-razrabotchik-39702026.html	120000.0	150000.0	руб.	https://russia.superjob.ru
42	DevOps инженер (SberData)	https://russia.superjob.ru/vakansii/devops-inzhener-40238770.html				https://russia.superjob.ru
43	Специалист в службу поддержки Умные устройства	https://russia.superjob.ru/vakansii/specialist-v-sluzhbu-podderzhki-umnye-ustrojstva-39988472.html	26000.0	26000.0	руб.	https://russia.superjob.ru
44	Тестировщик оборудования	https://russia.superjob.ru/vakansii/testirovschik-oborudovaniya-39697537.html				https://russia.superjob.ru
45	Backend-разработчик	https://russia.superjob.ru/vakansii/backend-razrabotchik-39697365.html	80000.0	80000.0	руб.	https://russia.superjob.ru
46	Старший программист 1C	https://russia.superjob.ru/vakansii/starshij-programmist-1c-38827651.html	150000.0	150000.0	руб.	https://russia.superjob.ru
47	DevOps Engineer	https://russia.superjob.ru/vakansii/devops-engineer-40267164.html	100000.0	100000.0	руб.	https://russia.superjob.ru
48	Junior Analyst / Младший аналитик (удаленная работа)	https://russia.superjob.ru/vakansii/junior-analyst-38816322.html	40000.0	40000.0	руб.	https://russia.superjob.ru
49	Специалист 1 разряда отдела мониторинга функционирования АИС ФНС России	https://russia.superjob.ru/vakansii/specialist-1-razryada-otdela-monitoringa-funkcionirovaniya-ais-fns-rossii-38482723.html	45000.0	45000.0	руб.	https://russia.superjob.ru
50	Программист PHP	https://russia.superjob.ru/vakansii/programmist-php-39918570.html				https://russia.superjob.ru
51	Программист-разработчик PHP	https://russia.superjob.ru/vakansii/programmist-razrabotchik-php-39825361.html	150000.0	150000.0	руб.	https://russia.superjob.ru
52	DevOps Engineer	https://russia.superjob.ru/vakansii/devops-engineer-40198642.html				https://russia.superjob.ru
53	Инженер Linux (отдел разработки ОС)	https://russia.superjob.ru/vakansii/inzhener-linux-40261495.html				https://russia.superjob.ru
54	Web-разработчик	https://russia.superjob.ru/vakansii/web-razrabotchik-35121873.html	130000.0	130000.0	руб.	https://russia.superjob.ru
55	Инженер-программист	https://russia.superjob.ru/vakansii/inzhener-programmist-30967868.html	33000.0	36000.0	руб.	https://russia.superjob.ru
56	Системный администратор	https://russia.superjob.ru/vakansii/sistemnyj-administrator-37493087.html	58000.0	58000.0	руб.	https://russia.superjob.ru
57	Преподаватель программирования для детей	https://russia.superjob.ru/vakansii/prepodavatel-programmirovaniya-dlya-detej-39914603.html				https://russia.superjob.ru
58	Разработчик SQL	https://russia.superjob.ru/vakansii/razrabotchik-sql-38284142.html	140000.0	150000.0	руб.	https://russia.superjob.ru
59	Системный администратор, IT-специалист	https://russia.superjob.ru/vakansii/sistemnyj-administrator-40065092.html	100000.0	100000.0	руб.	https://russia.superjob.ru
60	Менеджер направления (product manager)	https://russia.superjob.ru/vakansii/menedzher-napravleniya-40073732.html				https://russia.superjob.ru
61	Программист Java	https://russia.superjob.ru/vakansii/programmist-java-39918546.html				https://russia.superjob.ru
62	Старший программист 1C	https://russia.superjob.ru/vakansii/starshij-programmist-1c-40078640.html	150000.0	150000.0	руб.	https://russia.superjob.ru
63	Специалист службы поддержки (с техническими знаниями)	https://russia.superjob.ru/vakansii/specialist-sluzhby-podderzhki-37985821.html	15000.0	15000.0	руб.	https://russia.superjob.ru
64	Инженер IT	https://russia.superjob.ru/vakansii/inzhener-it-40064915.html	90000.0	90000.0	руб.	https://russia.superjob.ru
65	Программист со знанием машинного обучения и нейронных сетей / Deep Learning Engineer	https://russia.superjob.ru/vakansii/programmist-so-znaniem-mashinnogo-obucheniya-i-nejronnyh-setej-40064770.html				https://russia.superjob.ru
66	Инженер-электронщик	https://russia.superjob.ru/vakansii/inzhener-elektronschik-40062365.html	80000.0	100000.0	руб.	https://russia.superjob.ru
67	Технический писатель	https://russia.superjob.ru/vakansii/tehnicheskij-pisatel-40057541.html				https://russia.superjob.ru
68	Программист 1С	https://russia.superjob.ru/vakansii/programmist-1s-40243535.html	50000.0	50000.0	руб.	https://russia.superjob.ru
69	Инженер (программирование)	https://russia.superjob.ru/vakansii/inzhener-36104139.html	40000.0	40000.0	руб.	https://russia.superjob.ru
70	Доцент / Профессор	https://russia.superjob.ru/vakansii/docent-34389482.html				https://russia.superjob.ru
71	Учитель информатики, преподаватель информационных технологий	https://russia.superjob.ru/vakansii/uchitel-informatiki-34134142.html	100000.0	100000.0	руб.	https://russia.superjob.ru
72	C++ QT Разработчик (Android, iOS)	https://russia.superjob.ru/vakansii/c-39903832.html	150000.0	170000.0	руб.	https://russia.superjob.ru
73	Senior NodeJS Developer	https://russia.superjob.ru/vakansii/senior-nodejs-developer-40045553.html				https://russia.superjob.ru
74	Веб-разработчик (Junior)	https://russia.superjob.ru/vakansii/veb-razrabotchik-34415770.html				https://russia.superjob.ru
75	Программист	https://russia.superjob.ru/vakansii/programmist-40043071.html				https://russia.superjob.ru
76	Преподаватель по информатике, программированию	https://russia.superjob.ru/vakansii/prepodavatel-po-informatike-40209122.html	40000.0	40000.0	руб.	https://russia.superjob.ru
77	C++ developer	https://russia.superjob.ru/vakansii/c-40233946.html				https://russia.superjob.ru
78	Начинающий программист микроконтроллеров С++	https://russia.superjob.ru/vakansii/nachinayuschij-programmist-mikrokontrollerov-s-40233713.html				https://russia.superjob.ru
79	IT-специалист (Junior / Middle)	https://russia.superjob.ru/vakansii/it-specialist-39287673.html	100000.0	100000.0	руб.	https://russia.superjob.ru
80	Аналитик данных	https://russia.superjob.ru/vakansii/analitik-dannyh-39324713.html				https://russia.superjob.ru
81	Руководитель группы автоматизации	https://russia.superjob.ru/vakansii/rukovoditel-gruppy-avtomatizacii-40057536.html				https://russia.superjob.ru
82	Техник	https://russia.superjob.ru/vakansii/tehnik-37710157.html	35000.0	35000.0	руб.	https://russia.superjob.ru
83	Ведущий программист микроконтроллеров С++	https://russia.superjob.ru/vakansii/veduschij-programmist-mikrokontrollerov-s-40233783.html	160000.0	160000.0	руб.	https://russia.superjob.ru
84	IT-специалист	https://russia.superjob.ru/vakansii/it-specialist-39454277.html	100000.0	100000.0	руб.	https://russia.superjob.ru
85	Fullstack веб-разработчик	https://russia.superjob.ru/vakansii/fullstack-veb-razrabotchik-38769309.html	70000.0	70000.0	руб.	https://russia.superjob.ru
86	Инженер-программист	https://russia.superjob.ru/vakansii/inzhener-programmist-38852674.html	25000.0	25000.0	руб.	https://russia.superjob.ru
87	Специалист по обработке данных (Аналитик данных)	https://russia.superjob.ru/vakansii/specialist-po-obrabotke-dannyh-38606438.html	100000.0	100000.0	руб.	https://russia.superjob.ru
88	Big Data Engineer	https://russia.superjob.ru/vakansii/big-data-engineer-40221082.html				https://russia.superjob.ru
89	Риггер / Character TD	https://russia.superjob.ru/vakansii/rigger-37351650.html				https://russia.superjob.ru
90	Системный администратор	https://russia.superjob.ru/vakansii/sistemnyj-administrator-38671598.html	80000.0	80000.0	руб.	https://russia.superjob.ru
91	Web-программист	https://russia.superjob.ru/vakansii/web-programmist-37845982.html				https://russia.superjob.ru
92	Программист-аналитик	https://russia.superjob.ru/vakansii/programmist-analitik-38765202.html				https://russia.superjob.ru
93	Ведущий Ruby-разработчик	https://russia.superjob.ru/vakansii/veduschij-ruby-razrabotchik-40014064.html	300000.0	300000.0	руб.	https://russia.superjob.ru
94	Backend-разработчик	https://russia.superjob.ru/vakansii/backend-razrabotchik-39766736.html	40000.0	40000.0	руб.	https://russia.superjob.ru
95	Системный администратор Linux/DevOps инженер	https://russia.superjob.ru/vakansii/sistemnyj-administrator-linux-40000059.html	280000.0	280000.0	руб.	https://russia.superjob.ru
96	Rust Developer	https://russia.superjob.ru/vakansii/rust-developer-39886574.html	170000.0	170000.0	руб.	https://russia.superjob.ru
97	Системный инженер	https://russia.superjob.ru/vakansii/sistemnyj-inzhener-40188058.html				https://russia.superjob.ru
98	Middle Frontend developer	https://russia.superjob.ru/vakansii/middle-frontend-developer-40187560.html	180000.0	180000.0	руб.	https://russia.superjob.ru
99	Веб-разработчик Angular	https://russia.superjob.ru/vakansii/veb-razrabotchik-angular-39996098.html				https://russia.superjob.ru
100	QA Automation engineer	https://russia.superjob.ru/vakansii/qa-automation-engineer-40048807.html				https://russia.superjob.ru
101	Ведущий DevOps-инженер	https://russia.superjob.ru/vakansii/veduschij-devops-inzhener-40020299.html				https://russia.superjob.ru
102	Инженер-схемотехник	https://russia.superjob.ru/vakansii/inzhener-shemotehnik-38000105.html	60000.0	60000.0	руб.	https://russia.superjob.ru
103	Аналитик данных	https://russia.superjob.ru/vakansii/analitik-dannyh-39993159.html	100000.0	100000.0	руб.	https://russia.superjob.ru
104	Программист С++	https://russia.superjob.ru/vakansii/programmist-s-38868226.html	160000.0	160000.0	руб.	https://russia.superjob.ru
105	Data Engineer (Middle/Senior)	https://russia.superjob.ru/vakansii/data-engineer-39980654.html	300000.0	300000.0	руб.	https://russia.superjob.ru
106	BIM-координатор	https://russia.superjob.ru/vakansii/bim-koordinator-39354232.html				https://russia.superjob.ru
107	Ведущий программист С/С++ / Программист С (С++ микроконтроллеров)	https://russia.superjob.ru/vakansii/veduschij-programmist-s-39747788.html	120000.0	120000.0	руб.	https://russia.superjob.ru
108	Backend Engineer / Data Engineer / Vision ML Engineer	https://russia.superjob.ru/vakansii/backend-engineer-40158490.html	150000.0	175000.0	руб.	https://russia.superjob.ru
109	Ведущий инженер	https://russia.superjob.ru/vakansii/veduschij-inzhener-36502434.html	150000.0	180000.0	руб.	https://russia.superjob.ru
110	Младший аналитик	https://russia.superjob.ru/vakansii/mladshij-analitik-32715654.html	25000.0	30000.0	руб.	https://russia.superjob.ru
111	Преподаватель в школу программирования	https://russia.superjob.ru/vakansii/prepodavatel-v-shkolu-programmirovaniya-39971125.html	1000.0	1000.0	руб.	https://russia.superjob.ru
112	Системный администратор (Windows Linux)	https://russia.superjob.ru/vakansii/sistemnyj-administrator-39745193.html	120000.0	120000.0	руб.	https://russia.superjob.ru
113	Backend разработчик	https://russia.superjob.ru/vakansii/backend-razrabotchik-39874764.html				https://russia.superjob.ru
114	Системный администратор с функциями программиста	https://russia.superjob.ru/vakansii/sistemnyj-administrator-s-funkciyami-programmista-40154032.html				https://russia.superjob.ru
115	Разработчик	https://russia.superjob.ru/vakansii/razrabotchik-39969980.html				https://russia.superjob.ru
116	Системный администратор	https://russia.superjob.ru/vakansii/sistemnyj-administrator-39969772.html	35000.0	35000.0	руб.	https://russia.superjob.ru
117	Главный специалист направления ИТ-аудита	https://russia.superjob.ru/vakansii/glavnyj-specialist-napravleniya-it-audita-39734065.html				https://russia.superjob.ru
118	Team Lead	https://russia.superjob.ru/vakansii/team-lead-39964213.html	250000.0	250000.0	руб.	https://russia.superjob.ru
119	Педагог дополнительного образования по программированию	https://russia.superjob.ru/vakansii/pedagog-dopolnitelnogo-obrazovaniya-po-programmirovaniyu-39961594.html	35000.0	40000.0	руб.	https://russia.superjob.ru
120	Data science инженер	https://russia.superjob.ru/vakansii/data-science-inzhener-39993168.html	200000.0	250000.0	руб.	https://russia.superjob.ru
121	Программист С/С++ микроконтроллеров	https://russia.superjob.ru/vakansii/programmist-s-39747791.html	80000.0	100000.0	руб.	https://russia.superjob.ru
122	Системный администратор	https://russia.superjob.ru/vakansii/sistemnyj-administrator-40153866.html				https://russia.superjob.ru
123	Linux-администратор (devops)	https://russia.superjob.ru/vakansii/linux-administrator-35134882.html				https://russia.superjob.ru
124	Программист микроконтроллеров	https://russia.superjob.ru/vakansii/programmist-mikrokontrollerov-36189821.html	50000.0	50000.0	руб.	https://russia.superjob.ru
125	Преподаватель по программированию	https://russia.superjob.ru/vakansii/prepodavatel-po-programmirovaniyu-40109330.html	50000.0	50000.0	руб.	https://russia.superjob.ru
126	Ведущий математик-программист	https://russia.superjob.ru/vakansii/veduschij-matematik-programmist-40105999.html				https://russia.superjob.ru
127	Преподаватель компьютерных курсов для детей (удаленно)	https://russia.superjob.ru/vakansii/prepodavatel-kompyuternyh-kursov-dlya-detej-39934578.html	80000.0	80000.0	руб.	https://russia.superjob.ru
128	Ведущий разработчик Puhton	https://russia.superjob.ru/vakansii/veduschij-razrabotchik-puhton-40103702.html	250000.0	250000.0	руб.	https://russia.superjob.ru
129	VBA developer	https://russia.superjob.ru/vakansii/vba-developer-39937781.html				https://russia.superjob.ru
130	Инженер по Astra Linux (DevOps)	https://russia.superjob.ru/vakansii/inzhener-po-astra-linux-39931896.html				https://russia.superjob.ru
131	Руководитель группы тестирования (QA Lead)	https://russia.superjob.ru/vakansii/rukovoditel-gruppy-testirovaniya-39860952.html				https://russia.superjob.ru
